id_student,code_module,code_presentation,week,activity_count
S001,AAA,2024J,1,18
S001,AAA,2024J,2,24
S001,AAA,2024J,3,20
S002,AAA,2024J,1,8
S002,AAA,2024J,2,12
S002,AAA,2024J,3,10
S003,AAA,2024J,1,31
S003,AAA,2024J,2,28
S003,AAA,2024J,3,35
S004,BBB,2024J,1,14
S004,BBB,2024J,2,17
S004,BBB,2024J,3,16
S005,BBB,2024J,1,6
S005,BBB,2024J,2,9
S005,BBB,2024J,3,7
S006,BBB,2024J,1,22
S006,BBB,2024J,2,25
S006,BBB,2024J,3,29
S007,CCC,2024B,1,27
S007,CCC,2024B,2,24
S007,CCC,2024B,3,26
S008,CCC,2024B,1,11
S008,CCC,2024B,2,14
S008,CCC,2024B,3,13
S009,CCC,2024B,1,19
S009,CCC,2024B,2,21
S009,CCC,2024B,3,23
